ids,names
http://www.wikidata.org/entity/Q100158614,Orpheus Award
http://www.wikidata.org/entity/Q1054022,Telly Award
http://www.wikidata.org/entity/Q16687969,Nika award for the best animated film
http://www.wikidata.org/entity/Q16725777,Premio Feroz Especial
http://www.wikidata.org/entity/Q17172665,Crystal Simorgh for Best Supporting Actress
http://www.wikidata.org/entity/Q17172680,Crystal Simorgh for Best Screenplay
http://www.wikidata.org/entity/Q17986086,London Film Critics' Circle Award for British or Irish Film of the Year
http://www.wikidata.org/entity/Q22674761,Štiglic Award
http://www.wikidata.org/entity/Q23656767,People's Choice Awards for Favorite Movie
http://www.wikidata.org/entity/Q23656773,People's Choice Awards for Favorite Male Movie Star
http://www.wikidata.org/entity/Q23656800,People's Choice Awards for Favorite Superhero
http://www.wikidata.org/entity/Q23662427,AFI Award
http://www.wikidata.org/entity/Q24082771,VES Award for Outstanding Virtual Cinematography in a Live Action Feature Motion Picture
http://www.wikidata.org/entity/Q24175384,MTV Movie Award for Ensemble Cast
http://www.wikidata.org/entity/Q24206790,People's Choice Award for Favorite Movie Superhero
http://www.wikidata.org/entity/Q24261882,Critics' Choice Movie Award for Best Visual Effects
http://www.wikidata.org/entity/Q28044812,Online Film Critics Society Awards
http://www.wikidata.org/entity/Q28528753,Best Dramatic Screenplay
http://www.wikidata.org/entity/Q28856531,Best Sci-Fi Feature
http://www.wikidata.org/entity/Q317057,Bogey Awards
http://www.wikidata.org/entity/Q369961,Darwin Awards
http://www.wikidata.org/entity/Q3747887,For Your Consideration
http://www.wikidata.org/entity/Q41791713,Iris award
http://www.wikidata.org/entity/Q496411,Grand Bell Awards
http://www.wikidata.org/entity/Q51703037,AMD Award
http://www.wikidata.org/entity/Q5281784,Discover Screenwriting Award
http://www.wikidata.org/entity/Q61076714,Golden Orange Award for Best Film in International Competition
http://www.wikidata.org/entity/Q6667523,Logie Award for Most Outstanding Actress in a Series
http://www.wikidata.org/entity/Q6873052,Mirchi Music Awards
http://www.wikidata.org/entity/Q84702885,Heiner Carow Award
http://www.wikidata.org/entity/Q955361,Sebastiane Award
http://www.wikidata.org/entity/Q11303873,Golden Gross Prize
http://www.wikidata.org/entity/Q1421817,Prix Europa
http://www.wikidata.org/entity/Q1578899,Warsaw International Film Festival
http://www.wikidata.org/entity/Q18869920,Premis Internacionals Terenci Moix
http://www.wikidata.org/entity/Q21573674,Ninfa Awards
http://www.wikidata.org/entity/Q24082747,Teen Choice Award for Choice Movie Breakout: Male
http://www.wikidata.org/entity/Q24248368,Teen Choice Award for Choice Movie Breakout Star
http://www.wikidata.org/entity/Q24275934,Teen Choice Award for Choice Movie: Chemistry
http://www.wikidata.org/entity/Q248446,Zurich Film Award
http://www.wikidata.org/entity/Q25999219,Grand prix des Amériques
http://www.wikidata.org/entity/Q3114772,Grand Prix
http://www.wikidata.org/entity/Q3361613,Palm Dog Award
http://www.wikidata.org/entity/Q375039,Student Academy Awards
http://www.wikidata.org/entity/Q39081322,Spanish Biennial of Architecture and Urbanism
http://www.wikidata.org/entity/Q4041580,Iris Prize
http://www.wikidata.org/entity/Q5579728,Golden Pyramid Award
http://www.wikidata.org/entity/Q580995,apotheosis
http://www.wikidata.org/entity/Q5840270,Espiga de Oro
http://www.wikidata.org/entity/Q594227,Major League Baseball Rookie of the Year Award
http://www.wikidata.org/entity/Q59491606,Silver Mirror
http://www.wikidata.org/entity/Q7866353,USC Scripter Award
http://www.wikidata.org/entity/Q838403,Directors' Fortnight
http://www.wikidata.org/entity/Q896668,Ernst Lubitsch award
http://www.wikidata.org/entity/Q1186171,Blue Ribbon Awards
http://www.wikidata.org/entity/Q1204775,German TV Crime Drama Award
http://www.wikidata.org/entity/Q1596379,Heinrich Greif Prize
http://www.wikidata.org/entity/Q1637268,NME Awards
http://www.wikidata.org/entity/Q182728,Edda Awards
http://www.wikidata.org/entity/Q24203593,Critics' Choice Movie Award for Best Actor in an Action Movie
http://www.wikidata.org/entity/Q24275937,Teen Choice Award for Choice Movie: Liplock
http://www.wikidata.org/entity/Q3822438,Butaca Awards
http://www.wikidata.org/entity/Q943908,Jupiter Award
http://www.wikidata.org/entity/Q1094517,Civis Media Prize
http://www.wikidata.org/entity/Q1266608,Silver Bear for Outstanding Artistic Contribution
http://www.wikidata.org/entity/Q1546865,Grimme Online Award
http://www.wikidata.org/entity/Q1560272,Günter Rohrbach film award
http://www.wikidata.org/entity/Q1661436,Indira Gandhi Award for Best First Film of a Director
http://www.wikidata.org/entity/Q2159561,Queer Palm
http://www.wikidata.org/entity/Q22055485,Online Film & Television Association Award
http://www.wikidata.org/entity/Q11247971,News & Documentary Emmy Award
http://www.wikidata.org/entity/Q263619,British Comedy Awards
http://www.wikidata.org/entity/Q4896626,Best Director
http://www.wikidata.org/entity/Q894596,Boston Society of Film Critics Award for Best Actress
http://www.wikidata.org/entity/Q1411891,Webby Award
http://www.wikidata.org/entity/Q1713744,Jupiter Awards
http://www.wikidata.org/entity/Q2503453,Prize of the Ecumenical Jury
http://www.wikidata.org/entity/Q4377004,Nika Award for Breakthrough of the Year
http://www.wikidata.org/entity/Q685000,Dilys Award
http://www.wikidata.org/entity/Q691086,Deutscher Jugendliteraturpreis
http://www.wikidata.org/entity/Q725932,Vulcan Award
http://www.wikidata.org/entity/Q1058012,Hochi Film Award
http://www.wikidata.org/entity/Q1266111,GLAAD Media Award
http://www.wikidata.org/entity/Q16157627,The Amanda Public Choice Award
http://www.wikidata.org/entity/Q1011572,Golden Rooster Awards
http://www.wikidata.org/entity/Q1982554,New Faces Award
http://www.wikidata.org/entity/Q538661,Goldene Kamera
http://www.wikidata.org/entity/Q45769590,TV Krant Filmposter Award
http://www.wikidata.org/entity/Q919525,British Independent Film Awards
http://www.wikidata.org/entity/Q1794567,Preis der deutschen Filmkritik
http://www.wikidata.org/entity/Q3550705,United Nations Awards
http://www.wikidata.org/entity/Q7096158,Open Palm Award
http://www.wikidata.org/entity/Q947606,XRCO Hall of Fame
http://www.wikidata.org/entity/Q494588,Young Artist Award
http://www.wikidata.org/entity/Q7585305,Critics' Choice Movie Award
http://www.wikidata.org/entity/Q786357,Premios Ondas
http://www.wikidata.org/entity/Q1350697,National Film Awards
http://www.wikidata.org/entity/Q3774974,U.S. Grand Jury Prize: Dramatic
http://www.wikidata.org/entity/Q311836,Independent Spirit Awards
http://www.wikidata.org/entity/Q31579,David di Donatello
http://www.wikidata.org/entity/Q19573074,Silver nugget for the best foreign film
http://www.wikidata.org/entity/Q212828,Goya Awards
http://www.wikidata.org/entity/Q7650000,Sutherland Trophy
http://www.wikidata.org/entity/Q472379,Grimme-Preis
http://www.wikidata.org/entity/Q449353,National Prize of East Germany
http://www.wikidata.org/entity/Q580231,Golden Eagle Award
http://www.wikidata.org/entity/Q135498,Genesis Award
http://www.wikidata.org/entity/Q174389,César Award
http://www.wikidata.org/entity/Q566905,Annie Award
http://www.wikidata.org/entity/Q838121,Peabody Awards
http://www.wikidata.org/entity/Q1415017,Writers Guild of America Award
http://www.wikidata.org/entity/Q1044427,Primetime Emmy Award
