ids,names
http://www.wikidata.org/entity/Q11020382,Ken Masters
http://www.wikidata.org/entity/Q1103958,Rufus Shinra
http://www.wikidata.org/entity/Q13500542,Rocky Horror
http://www.wikidata.org/entity/Q14174302,Brutus
http://www.wikidata.org/entity/Q14175511,Cecelia
http://www.wikidata.org/entity/Q14175537,Woof
http://www.wikidata.org/entity/Q14329190,Seeder
http://www.wikidata.org/entity/Q14329531,Cinna
http://www.wikidata.org/entity/Q14430425,Claudius Templesmith
http://www.wikidata.org/entity/Q14430462,Seneca Crane
http://www.wikidata.org/entity/Q14431668,Venia
http://www.wikidata.org/entity/Q15903252,Doctor Nefarious
http://www.wikidata.org/entity/Q16238210,Georges Querelle
http://www.wikidata.org/entity/Q1645978,Taylor McKessie
http://www.wikidata.org/entity/Q16594539,Randall Boggs
http://www.wikidata.org/entity/Q16596578,Riff Raff
http://www.wikidata.org/entity/Q16636700,Gideon de Villiers
http://www.wikidata.org/entity/Q16949762,Azamat Bagatov
http://www.wikidata.org/entity/Q2066788,Syrena
http://www.wikidata.org/entity/Q21233588,Non
http://www.wikidata.org/entity/Q24046153,Laufey
http://www.wikidata.org/entity/Q2520136,Hrothgar
http://www.wikidata.org/entity/Q2705382,Kamacuras
http://www.wikidata.org/entity/Q27067868,Hideous Rabbit
http://www.wikidata.org/entity/Q2849152,Andy Osnard
http://www.wikidata.org/entity/Q2907795,Mike Wazowski
http://www.wikidata.org/entity/Q3040877,Ducoboo
http://www.wikidata.org/entity/Q3180600,Johann Kraus
http://www.wikidata.org/entity/Q3268286,Clover
http://www.wikidata.org/entity/Q3294376,Marko Ramius
http://www.wikidata.org/entity/Q3751740,Dr. Frank N. Furter
http://www.wikidata.org/entity/Q3828756,Dee Dee
http://www.wikidata.org/entity/Q3885869,Orihime Soletta
http://www.wikidata.org/entity/Q3989664,The Toxic Avenger
http://www.wikidata.org/entity/Q46148760,Rachel Keller
http://www.wikidata.org/entity/Q4885498,Ben Daimio
http://www.wikidata.org/entity/Q50380089,Chopper
http://www.wikidata.org/entity/Q51079041,Trainman
http://www.wikidata.org/entity/Q51879834,Leah Estrogen
http://www.wikidata.org/entity/Q51879845,Tom Colonic
http://www.wikidata.org/entity/Q537554,Sigurd
http://www.wikidata.org/entity/Q54850974,John Hancock
http://www.wikidata.org/entity/Q56325146,Neomorph
http://www.wikidata.org/entity/Q5795020,Curtis Miller
http://www.wikidata.org/entity/Q59685035,Johnny (The Room)
http://www.wikidata.org/entity/Q616454,SpaceGodzilla
http://www.wikidata.org/entity/Q63761189,Xabinaitor
http://www.wikidata.org/entity/Q64410103,Albert the Magic Pudding
http://www.wikidata.org/entity/Q64876622,Alita
http://www.wikidata.org/entity/Q6849472,Mikey Waters
http://www.wikidata.org/entity/Q6849854,Miki Saegusa
http://www.wikidata.org/entity/Q71691901,Geri
http://www.wikidata.org/entity/Q72163692,Blinky Bill
http://www.wikidata.org/entity/Q7243832,Prince Barin
http://www.wikidata.org/entity/Q7244553,Princess Aura
http://www.wikidata.org/entity/Q7308183,Reggie
http://www.wikidata.org/entity/Q7557037,Solaris
http://www.wikidata.org/entity/Q83195873,Dark Helmet
http://www.wikidata.org/entity/Q9056656,Passel Argente
http://www.wikidata.org/entity/Q93328656,Galen
http://www.wikidata.org/entity/Q9334629,Scratte
http://www.wikidata.org/entity/Q93880301,Captain Sawada
http://www.wikidata.org/entity/Q98551699,Lin
http://www.wikidata.org/entity/Q10321796,Wendy the Good Little Witch
http://www.wikidata.org/entity/Q10336945,Nimue
http://www.wikidata.org/entity/Q105844464,Junior Healy
http://www.wikidata.org/entity/Q107387280,Madelyn Dinkley
http://www.wikidata.org/entity/Q10858749,Ares
http://www.wikidata.org/entity/Q11812247,Dionysus
http://www.wikidata.org/entity/Q1284474,Gabby
http://www.wikidata.org/entity/Q14174498,Wiress
http://www.wikidata.org/entity/Q14174852,Mags
http://www.wikidata.org/entity/Q14175201,Foxface
http://www.wikidata.org/entity/Q14175641,Rue
http://www.wikidata.org/entity/Q14329656,Caesar Flickerman
http://www.wikidata.org/entity/Q14430111,Clove
http://www.wikidata.org/entity/Q14430342,Cato
http://www.wikidata.org/entity/Q14430506,Glimmer
http://www.wikidata.org/entity/Q15961663,Shijuku Tsukishima
http://www.wikidata.org/entity/Q15966747,Seiji Amasawa
http://www.wikidata.org/entity/Q16635911,Gwendolyn Shepherd
http://www.wikidata.org/entity/Q17043438,Virgilia
http://www.wikidata.org/entity/Q18677006,Plavalaguna
http://www.wikidata.org/entity/Q1901282,Vega
http://www.wikidata.org/entity/Q20823456,Hamm
http://www.wikidata.org/entity/Q2300080,E. Honda
http://www.wikidata.org/entity/Q2300110,Blanka
http://www.wikidata.org/entity/Q2320050,Nemesis
http://www.wikidata.org/entity/Q23572436,Jace Herondale
http://www.wikidata.org/entity/Q24049994,Lady Sif
http://www.wikidata.org/entity/Q2569985,Johan Anderson
http://www.wikidata.org/entity/Q2731177,Gonzo the Great
http://www.wikidata.org/entity/Q2838212,Frederick Chilton
