ids,names
http://www.wikidata.org/entity/Q30277550,historiography
http://www.wikidata.org/entity/Q316752,relationship between religion and science
http://www.wikidata.org/entity/Q29621749,family drama
http://www.wikidata.org/entity/Q100339660,Christian fiction
http://www.wikidata.org/entity/Q3519050,eroticism
http://www.wikidata.org/entity/Q19952568,historical drama
http://www.wikidata.org/entity/Q26221026,noir fiction
http://www.wikidata.org/entity/Q9155615,fantastique
http://www.wikidata.org/entity/Q20737414,philosophical fiction
http://www.wikidata.org/entity/Q242492,shōjo
http://www.wikidata.org/entity/Q5774663,historical drama
http://www.wikidata.org/entity/Q4164344,documentary
http://www.wikidata.org/entity/Q85632254,animated film with LGBT character(s)
http://www.wikidata.org/entity/Q180774,dystopia
http://www.wikidata.org/entity/Q1196408,historical fiction
http://www.wikidata.org/entity/Q181001,erotica
http://www.wikidata.org/entity/Q170539,parody
http://www.wikidata.org/entity/Q80930,tragedy
http://www.wikidata.org/entity/Q231302,shōnen
http://www.wikidata.org/entity/Q8253,fiction
http://www.wikidata.org/entity/Q237338,seinen
http://www.wikidata.org/entity/Q7867,psychiatry
http://www.wikidata.org/entity/Q16575965,horror fiction
http://www.wikidata.org/entity/Q6585139,mystery fiction
http://www.wikidata.org/entity/Q291,pornography
http://www.wikidata.org/entity/Q9326077,speculative fiction
http://www.wikidata.org/entity/Q21192427,fictional crossover
http://www.wikidata.org/entity/Q858330,romance novel
http://www.wikidata.org/entity/Q186424,detective fiction
http://www.wikidata.org/entity/Q40831,comedy
http://www.wikidata.org/entity/Q24925,science fiction
http://www.wikidata.org/entity/Q2975633,coming-of-age story
http://www.wikidata.org/entity/Q21590660,Western
http://www.wikidata.org/entity/Q860626,romantic comedy
