ids,names
http://www.wikidata.org/entity/Q100423423,Viktor Krištof
http://www.wikidata.org/entity/Q1012658,Yuji Nomi
http://www.wikidata.org/entity/Q1019375,Béatrice Thiriet
http://www.wikidata.org/entity/Q102290694,Oleg Kapanets
http://www.wikidata.org/entity/Q102443065,Ram Lee
http://www.wikidata.org/entity/Q10287874,Gabriel Migliori
http://www.wikidata.org/entity/Q102963,Alexander Geringas
http://www.wikidata.org/entity/Q10310143,José Miguel Wisnik
http://www.wikidata.org/entity/Q10325285,Marco Antônio Guimarães
http://www.wikidata.org/entity/Q10327605,Mauro Senise
http://www.wikidata.org/entity/Q10342176,Oscar Francisco Nascimento
http://www.wikidata.org/entity/Q103651,Glenn Miller
http://www.wikidata.org/entity/Q103899296,Pierre Volto
http://www.wikidata.org/entity/Q1042512,Carlo Siliotto
http://www.wikidata.org/entity/Q1042647,Braguinha
http://www.wikidata.org/entity/Q104581329,Veronika Schwarczová
http://www.wikidata.org/entity/Q104590788,Jaroslav Bouček
http://www.wikidata.org/entity/Q104640969,Jan Maxa
http://www.wikidata.org/entity/Q1052932,Celine Rattray
http://www.wikidata.org/entity/Q105683337,Giovanni Korporaal
http://www.wikidata.org/entity/Q106273,Jürgen Knieper
http://www.wikidata.org/entity/Q1065815,Charles Previn
http://www.wikidata.org/entity/Q106638552,Mel Jarnson
http://www.wikidata.org/entity/Q106806107,Carmen Beato
http://www.wikidata.org/entity/Q1072590,Nico Fidenco
http://www.wikidata.org/entity/Q107263520,Martina Cariddi
http://www.wikidata.org/entity/Q107301610,Aglyamov Khairislam Aglyamovich
http://www.wikidata.org/entity/Q107356085,Atli Oskar Fjalarsson
http://www.wikidata.org/entity/Q107365690,Andrew Duncan
http://www.wikidata.org/entity/Q1074159,Toshiyuki Watanabe
http://www.wikidata.org/entity/Q107432,Charles Mingus
http://www.wikidata.org/entity/Q107492916,Fabio Laguna
http://www.wikidata.org/entity/Q1077822,Chris Walden
http://www.wikidata.org/entity/Q1079171,Christian Chevallier
http://www.wikidata.org/entity/Q1087016,Christopher Tin
http://www.wikidata.org/entity/Q1095790,Wojciech Jerzy Has
http://www.wikidata.org/entity/Q1098445,Claus Boje
http://www.wikidata.org/entity/Q1101973,Clive Langer
http://www.wikidata.org/entity/Q112161,Nathan Birnbaum
http://www.wikidata.org/entity/Q11234420,Narasaki
http://www.wikidata.org/entity/Q1132892,Corinne Marrinan
http://www.wikidata.org/entity/Q1133942,Cornelius Schwehr
http://www.wikidata.org/entity/Q11367905,Tatsuya Kushida
http://www.wikidata.org/entity/Q1137161,Xavier Marchand
http://www.wikidata.org/entity/Q11372834,Toshiyuki Inoue
http://www.wikidata.org/entity/Q1138157,Maurice Jaubert
http://www.wikidata.org/entity/Q1139446,Yōsuke Yamashita
http://www.wikidata.org/entity/Q1139570,Matthew Bourne
http://www.wikidata.org/entity/Q11399375,Hiroshi Katō
http://www.wikidata.org/entity/Q114285,Francesco De Gregori
