,ID,predicate,list
0,P6,head of government,"['head', 'government']"
1,P17,country,['country']
2,P19,place of birth,"['place', 'birth']"
3,P20,place of death,"['place', 'death']"
4,P21,sex or gender,"['sex', 'gender']"
5,P22,father,['father']
6,P25,mother,['mother']
7,P26,spouse,['spouse']
8,P27,country of citizenship,"['country', 'citizenship']"
9,P30,continent,['continent']
10,P31,instance of,['instance']
11,P35,head of state,"['head', 'state']"
12,P36,capital,['capital']
13,P37,official language,"['official', 'language']"
14,P40,child,['child']
15,P47,shares border with,"['shares', 'border']"
16,P50,author,['author']
17,P54,member of sports team,"['member', 'sports', 'team']"
18,P57,director,['director']
19,P58,screenwriter,['screenwriter']
20,P66,ancestral home,"['ancestral', 'home']"
21,P69,educated at,['educated']
22,P91,sexual orientation,"['sexual', 'orientation']"
23,P97,noble title,"['noble', 'title']"
24,P101,field of work,"['field', 'work']"
25,P103,native language,"['native', 'language']"
26,P106,occupation,['occupation']
27,P108,employer,['employer']
28,P112,founded by,['founded']
29,P119,place of burial,"['place', 'burial']"
30,P123,publisher,['publisher']
31,P127,owned by,['owned']
32,P131,located in the administrative territorial entity,"['located', 'administrative', 'territorial', 'entity']"
33,P135,movement,['movement']
34,P136,genre,['genre']
35,P137,operator,['operator']
36,P138,named after,['named']
37,P140,religion or worldview,"['religion', 'worldview']"
38,P144,based on,['based']
39,P150,contains the administrative territorial entity,"['contains', 'administrative', 'territorial', 'entity']"
40,P155,follows,['follows']
41,P156,named after,['named']
42,P157,killed by,['killed']
43,P159,headquarters location,"['headquarters', 'location']"
44,P161,cast member,"['cast', 'member']"
45,P166,award received,"['award', 'received']"
46,P170,creator,['creator']
47,P172,ethnic group,"['ethnic', 'group']"
48,P175,performer,['performer']
49,P178,developer,['developer']
50,P179,part of the series,"['part', 'series']"
51,P180,depicts,['depicts']
52,P190,twinned administrative body,"['twinned', 'administrative', 'body']"
53,P195,collection,['collection']
54,P205,basin country,"['basin', 'country']"
55,P206,located in or next to body of water,"['located', 'next', 'body', 'water']"
56,P241,military branch,"['military', 'branch']"
57,P263,official residence,"['official', 'residence']"
58,P272,production company,"['production', 'company']"
59,P275,copyright license,"['copyright', 'license']"
60,P276,location,['location']
61,P279,subclass of,['subclass']
62,P287,designed by,['designed']
63,P291,place of publication,"['place', 'publication']"
64,P306,operating system,"['operating', 'system']"
65,P344,director of photography,"['director', 'photography']"
66,P361,part of,['part']
67,P364,original language of film or tv show,"['original', 'language', 'film', 'tv', 'show']"
68,P366,has use,['use']
69,P371,presenter,['presenter']
70,P400,platform,['platform']
71,P407,language of work or name,"['language', 'work', 'name']"
