Title,ID,Data type,Description,Examples,Inverse,In ,
instance of,P31,Item,"instance of: that class of which this subject is a particular example and member; different from P279 (subclass of); for example: K2 is an instance of mountain; volcano is a subclass of mountain (and an instance of volcanic landform)
Wikibase value:film (Q11424)
short film (Q24862)
television film (Q506240)
anthology film (Q336144)",12 Angry Men <instance of> film,-,12,http://www.wikidata.org/prop/direct/P31
title,P1476,Monolingual text,"original title and title: published name of a work, such as a newspaper article, a literary work, piece of music, a website, or a performance work
language = original language
Wikidata qualifier: ISO 9:1995 (P2183), transliteration (P2440)",12 Angry Men <title> 12 Angry Men (English),-,#N/A,
publication date,P577,Point in time,"publication date: date or point in time when a work was first published or released
Wikidata qualifier: place of publication (P291) (country, film festival, geographic region). List each place in a separate statement",12 Angry Men <publication date> 1957,-,#N/A,
original language of film or TV show,P364,Item,"original language: language in which a film or a performance work was originally created. Deprecated for written works and songs; use P407 (""language of work or name"") instead.
• silent film → N/A (Q21686005)",12 Angry Men <original language of film or TV show> English,-,69,http://www.wikidata.org/prop/direct/P364
genre,P136,Item,genre and by genre: creative work's genre or an artist's field of work (P101). Use main subject (P921) to relate creative works to their topic,E.T. the Extra-Terrestrial <genre> science fiction film,-,36,http://www.wikidata.org/prop/direct/P136
director,P57,Item,"director, theatrical director, film director, film or television director, television director and radio director: director(s) of film, TV-series, stageplay, video game or similar",12 Angry Men <director> Sidney Lumet,-,20,http://www.wikidata.org/prop/direct/P57
cast member,P161,Item,"actor, film actor, television actor, singer, ballet dancer, stage actor, animal actor, performing artist, seiyū, cast member, pornographic actor, radio actor, model, musical theatre actor, actress, reality television participant, cast member of, opera singer, drag queen and kabuki actor: actor in the subject production [use ""character role"" (P453) and/or ""name of the character role"" (P4633) as qualifiers] [use ""voice actor"" (P725) for voice-only role]
Wikidata qualifier: character role (P453), subject named as (P1810)",12 Angry Men <cast member> Martin Balsam,-,46,http://www.wikidata.org/prop/direct/P161
director of photography,P344,Item,"cinematographer: person responsible for the framing, lighting, and filtration of the subject work",12 Angry Men <director of photography> Boris Kaufman,-,67,http://www.wikidata.org/prop/direct/P344
screenwriter,P58,Item,screenwriter and film screenwriter: person(s) who wrote the script for subject item,12 Angry Men <screenwriter> Reginald Rose,-,21,http://www.wikidata.org/prop/direct/P58
film editor,P1040,Item,"film editor: person who works with the raw footage, selecting shots and combining them into sequences to create a finished motion picture",12 Angry Men <film editor> Carl Lerner,-,124,http://www.wikidata.org/prop/direct/P1040
producer,P162,Item,"producer: person(s) who produced the film, musical work, theatrical production, etc. (for film, this does not include executive producers, associate producers, etc.) [for production company, use P272, video games - use P178]",12 Angry Men <producer> Henry Fonda,-,#N/A,
narrative location,P840,Item,narrative location: the narrative of the work is set in this location,12 Angry Men <narrative location> New York City,-,112,http://www.wikidata.org/prop/direct/P840
filming location,P915,Item,"filming location and filmed here: actual place where this scene/film was shot. For the setting, use ""narrative location"" (P840)",Lucy <filming location> Cité du Cinéma,-,113,http://www.wikidata.org/prop/direct/P915
country of origin,P495,Item,"country of origin: country of origin of this item (creative work, food, phrase, product, etc.)",12 Angry Men <country of origin> United States of America,-,86,http://www.wikidata.org/prop/direct/P495
image,P18,Commons media file,"illustration and image: image of relevant illustration of the subject; if available, also use more specific properties (sample: coat of arms image, locator map, flag image, signature image, logo image, collage image)","20,000 Leagues Under the Sea <image> 20,000 Leagues under the Sea - movie scene - newspaper July 1917.jpg",-,#N/A,
film poster,P3383,Commons media file,"film poster: poster used to promote and advertise this film (if file is available on Commons). Use P154 for logos, P18 for movie stills and related images. Items about film posters can be linked with the qualifier ""subject of"" (P805).","20,000 Leagues Under the Sea <film poster> Poster - 20,000 Leagues under the Sea (1916).jpg",-,#N/A,
video,P10,Commons media file,"video recording: relevant video. For images, use the property P18. For film trailers, qualify with ""object has role"" (P3831)=""trailer"" (Q622550)",The Birds <video> The Birds trailer (1963).webm,-,#N/A,
executive producer,P1431,Item,executive producer: executive producer of a movie or TV show,Lucy <executive producer> Marc Shmuger,-,147,http://www.wikidata.org/prop/direct/P1431
production company,P272,Item,"production company: company that produced this film, audio or performing arts work",The Scarlet Runner <production company> Vitagraph Studios,-,60,http://www.wikidata.org/prop/direct/P272
