wiki_code,label,description
P344,director of photography,"person responsible for the framing, lighting, and filtration of the subject work"
P3156,Australian Classification,content rating of an audiovisual work or video game in the Australian Classification system
P425,field of this occupation,"field corresponding to this occupation or profession (use only for occupations/professions - for people use Property:P101, for companies use P452)"
P195,collection,"art, museum, archival, or bibliographic collection the subject is part of"
P138,named after,"entity or event that inspired the subject's name, or namesake (in at least one language). Qualifier ""applies to name"" (P5168) can be used to indicate which one"
P452,industry,specific industry of company or organization
P463,member of,"organization, club or musical group to which the subject belongs. Do not use for membership in ethnic or social groups, nor for holding a political position, such as a member of parliament (use P39 for that)."
P2554,production designer,"person(s) responsible for overall aesthetic of the story of this motion picture, play, video game or similar; responsible for visual concept, producing interior, exterior, location, graphics, etc; deals with many and varied logistic related to this"
P6962,narrative motif,"thematic unit in a narrative or literary work used to develop a theme, mood or plot"
P190,twinned administrative body,"twin towns, sister cities, twinned municipalities and other localities that have a partnership or cooperative agreement, either legally or informally acknowledged by their governments"
P30,continent,continent of which the subject is a part
P1441,present in work,"this (fictional or fictionalized) entity or person appears in that work as part of the narration (use P2860 for works citing other works, P361/P1433 for works being part of other works, P1343 for entities described in non-fictional accounts)"
P276,location,"location of the object, structure or event. In the case of an administrative entity as containing item use P131. For statistical entities use P8138. In the case of a geographic entity use P706. Use P7153 for locations associated with the object."
P5970,Medierådet rating,rating of a film in the Danish movie content rating system
P2363,NMHH film rating,rating of a film in the Hungarian film rating system
P1344,participant in,event in which a person or organization was/is a participant; inverse of P710 or P1923
P2756,EIRIN film rating,category in the Japanese film rating system (add EIRIN number with qualifier P2676)
P1327,partner in business or sport,professional collaborator
P1455,list of works,link to the article with the works of a person; use P358 for discographies
P2541,operating area,"geographic area or jurisdiction an organisation or industry operates in, serves, or has responsibility for"
P166,award received,"award or recognition received by a person, organization or creative work"
P3428,INCAA film rating,rating of a movie in the Argentinian content rating system
P669,located on street,"street, road, or square, where the item is located. To add the number, use Property:P670 ""house number"" as qualifier. Use property P6375 ""street address"", if there is no item for the street"
P3931,copyright holder,person or organisation who holds the copyright of a work according to the Berne Convention
P7936,business model,business model a business enterprise or creative work operates under
P6379,has works in the collection,collection that has works of this person or organisation (use archive location P485 for the archives)
P629,edition or translation of,is an edition or translation of this entity
P2629,BBFC rating,"British media content rating (add BBFC reference with qualifier ""P2676"")"
P1066,student of,person who has taught this person
P7937,form of creative work,structure of a creative work
P737,influenced by,"this person, idea, etc. is informed by that other person, idea, etc., e.g. “Heidegger was influenced by Aristotle”"
P3834,RTC film rating,rating of a film in the Mexican film classification system
P69,educated at,educational institution attended by subject
