LInk,Property,Property_pastedval,Name of Relation,In movie
http://www.wikidata.org/prop/direct/P6,,head of government(P6),P6,FALSE
http://www.wikidata.org/prop/direct/P17,,country(P17),P17,FALSE
http://www.wikidata.org/prop/direct/P19,,place of birth(P19),P19,FALSE
http://www.wikidata.org/prop/direct/P20,,place of death(P20),P20,FALSE
http://www.wikidata.org/prop/direct/P21,,sex or gender(P21),P21,FALSE
http://www.wikidata.org/prop/direct/P22,,father(P22),P22,FALSE
http://www.wikidata.org/prop/direct/P25,,mother(P25),P25,FALSE
http://www.wikidata.org/prop/direct/P26,,spouse(P26),P26,FALSE
http://www.wikidata.org/prop/direct/P27,,country of citizenship(P27),P27,FALSE
http://www.wikidata.org/prop/direct/P30,,continent(P30),P30,FALSE
http://www.wikidata.org/prop/direct/P31,,instance of(P31),P31,TRUE
http://www.wikidata.org/prop/direct/P35,,head of state(P35),P35,FALSE
http://www.wikidata.org/prop/direct/P36,,capital(P36),P36,FALSE
http://www.wikidata.org/prop/direct/P37,,official language(P37),P37,FALSE
http://www.wikidata.org/prop/direct/P40,,child(P40),P40,FALSE
http://www.wikidata.org/prop/direct/P47,,shares border with(P47),P47,FALSE
http://www.wikidata.org/prop/direct/P50,,author(P50),P50,FALSE
http://www.wikidata.org/prop/direct/P54,,member of sports team(P54),P54,FALSE
http://www.wikidata.org/prop/direct/P57,,director(P57),P57,TRUE
http://www.wikidata.org/prop/direct/P58,,screenwriter(P58),P58,TRUE
http://www.wikidata.org/prop/direct/P66,,ancestral home(P66),P66,FALSE
http://www.wikidata.org/prop/direct/P69,,educated at(P69),P69,FALSE
http://www.wikidata.org/prop/direct/P91,,sexual orientation(P91),P91,FALSE
http://www.wikidata.org/prop/direct/P97,,noble title(P97),P97,FALSE
http://www.wikidata.org/prop/direct/P101,,field of work(P101),P101,FALSE
http://www.wikidata.org/prop/direct/P103,,native language(P103),P103,FALSE
http://www.wikidata.org/prop/direct/P106,,occupation(P106),P106,FALSE
http://www.wikidata.org/prop/direct/P108,,employer(P108),P108,FALSE
http://www.wikidata.org/prop/direct/P112,,founded by(P112),P112,FALSE
http://www.wikidata.org/prop/direct/P119,,place of burial(P119),P119,FALSE
http://www.wikidata.org/prop/direct/P123,,publisher(P123),P123,FALSE
http://www.wikidata.org/prop/direct/P127,,owned by(P127),P127,FALSE
http://www.wikidata.org/prop/direct/P131,,located in the administrative territorial entity(P131),P131,FALSE
http://www.wikidata.org/prop/direct/P135,,movement(P135),P135,FALSE
http://www.wikidata.org/prop/direct/P136,,genre(P136),P136,TRUE
http://www.wikidata.org/prop/direct/P137,,operator(P137),P137,FALSE
http://www.wikidata.org/prop/direct/P138,,named after(P138),P138,FALSE
http://www.wikidata.org/prop/direct/P140,,religion or worldview(P140),P140,FALSE
http://www.wikidata.org/prop/direct/P144,,based on(P144),P144,TRUE
http://www.wikidata.org/prop/direct/P150,,contains the administrative territorial entity(P150),P150,FALSE
http://www.wikidata.org/prop/direct/P155,,follows(P155),P155,FALSE
http://www.wikidata.org/prop/direct/P156,,named after,P156,FALSE
http://www.wikidata.org/prop/direct/P157,,killed by(P157),P157,FALSE
http://www.wikidata.org/prop/direct/P159,,headquarters location(P159),P159,FALSE
http://www.wikidata.org/prop/direct/P161,,cast member(P161),P161,TRUE
http://www.wikidata.org/prop/direct/P166,,award received(P166),P166,TRUE
http://www.wikidata.org/prop/direct/P170,,creator(P170),P170,FALSE
http://www.wikidata.org/prop/direct/P172,,ethnic group(P172),P172,FALSE
http://www.wikidata.org/prop/direct/P175,performer(P175),performer(P175),P175,FALSE
http://www.wikidata.org/prop/direct/P178,,developer(P178),P178,FALSE
http://www.wikidata.org/prop/direct/P179,,part of the series(P179),P179,TRUE
http://www.wikidata.org/prop/direct/P180,,depicts(P180),P180,FALSE
http://www.wikidata.org/prop/direct/P190,,twinned administrative body(P190),P190,FALSE
http://www.wikidata.org/prop/direct/P195,,collection(P195),P195,FALSE
http://www.wikidata.org/prop/direct/P205,,basin country(P205),P205,FALSE
http://www.wikidata.org/prop/direct/P206,,located in or next to body of water(P206),P206,FALSE
http://www.wikidata.org/prop/direct/P241,,military branch,P241,FALSE
http://www.wikidata.org/prop/direct/P263,,official residence(P263),P263,FALSE
http://www.wikidata.org/prop/direct/P272,,production company(P272),P272,TRUE
http://www.wikidata.org/prop/direct/P275,,copyright license(P275),P275,FALSE
http://www.wikidata.org/prop/direct/P276,,location(P276),P276,FALSE
